"class","tna","c1","c2","c3","m1","m2","m3","n1","n2","n3","p1","p2","p3"
1,0.00365119396321156,62.5414879329972,81.4835119046882,102.288700374802,-67.9124769311391,-47.0403263087448,-28.6168952850236,-16.8775054348996,3.04292005032885,22.7964778907175,10.2966799637232,31.5817350096909,50.5775140736517
1,0.40620668286356,63.6647913299926,81.9747376983523,103.094700288543,-65.5578457102734,-47.8131373443819,-25.227783661675,-15.5426359621547,2.85106996222381,22.713072443716,11.4405367072108,31.7853684013163,53.9072588950634
0,-3.07306611451903,62.8907612044613,82.5640393140265,100.73340454833,-68.0130326991825,-47.2120973943954,-28.3249903662907,-13.1361012519306,2.63275859137351,22.791114909322,31.0767877674494,11.9315335257411,54.2097082085534
0,-1.70317234278154,61.0302724760914,82.4289961998972,102.812897388949,-64.7728492285766,-45.2266713030847,-23.4420819666108,-15.8278928929986,3.08913362260568,23.0086708281362,9.76813561844246,31.51365509049,56.1170993340816
0,-0.715974219268225,62.2963186066225,81.5073494111362,102.58199913299,-64.7357383026935,-44.633814494442,-23.1588329545312,-16.3536129978107,2.4868746336973,22.7189668565775,12.2273607568525,32.2939904026365,53.8718675448584
0,-3.94729900178073,67.268055559517,103.127656967462,83.0731297899266,-63.3256194920861,-47.3011039117133,-23.9229992727431,-17.0369580921338,2.81891760420018,21.8907925986925,10.4043959845392,32.2140454560873,51.9029294770615
1,0.798191228942969,63.3137797790939,81.8267487476706,102.528112033103,-67.0714191890278,-45.0077011657626,-26.3572946310656,-16.524170054479,-0.166380759092815,22.8260590122472,12.3780176605005,32.1196133178056,53.3840264993521
0,-2.47531494173308,62.3694281187975,81.5391303399692,102.014032840368,-64.0415227626154,-47.6782687830475,-22.7416745831176,-15.9351193037471,3.78347965883972,22.6583688239361,10.2508918556606,32.1437588255487,51.886652768218
0,0.901014901312779,67.212398011554,83.8629982819878,103.568052059121,-65.8037248097217,-44.1794442137069,-28.6826000587837,-16.7407379780617,5.72212298105477,22.8620468116645,14.1814605200638,34.6526387715234,54.0883999533424
0,-2.17818372754827,65.6586587003028,82.5872504550993,101.573061441306,-67.666872935854,-48.2497218087358,-25.6178500153004,-16.0119947935794,2.79573614755243,22.8087279821716,13.704605183186,32.9504546265323,55.7445685615257
1,0.882308224784522,61.986656054708,81.3248298461247,103.211368847239,-65.6326243891237,-46.1288249325781,-25.6359315999848,-16.8536018116765,2.92519790514626,23.3722397089603,12.6513309382539,33.0992954085543,51.4342597264679
0,-3.29692278074133,59.930633070698,80.553063455147,100.929950637098,-66.0819279020488,-43.0231062906637,-24.8310528077813,-17.0502223446556,2.45172763206224,23.0764150681192,13.0475407963939,33.171214686252,55.2117688639371
0,-2.37942722715989,63.5127091806936,82.3645284225296,103.51749391233,-65.5645578242198,-46.3493803975642,-24.1985626383448,-16.2598266921278,2.42165628395424,22.0825670903537,11.2892775918964,31.4781476653628,53.5157648022352
1,0.62737817151316,62.8456883692566,81.7626230379198,102.924858289149,-67.8132290316515,-45.4005325006318,-26.3031954951519,-16.1029399265966,1.72111983511649,22.9907315080154,12.1578883929596,33.4967080764054,53.4821390466942
0,-0.99843948541603,63.136223824388,82.8245614212127,101.807931853025,-66.6229470656813,-30.1619343822899,-46.3829224180908,-16.8095264946661,3.77605564432724,22.8546767796324,12.2504345946176,34.1734405422554,53.2121871731901
0,-2.32951672876446,62.6576614619597,83.9987729095548,101.359472301514,-66.8902311625424,-47.0759506012986,-25.6516735700641,-16.7047285934076,1.58299311065971,22.980509621333,12.5631515672828,33.1001502665232,54.177507758393
0,1.68617965085637,62.8876583123457,81.4285788587348,103.13794781063,-46.7834302030337,-65.8563387820312,-24.2299735111364,-15.0554718762877,2.89429212206289,23.2986116831795,12.6285910123933,31.2428541144346,54.4666564438448
1,-0.815044792309206,62.2905995431302,82.0159159432305,101.69378679829,-64.2754578873779,-46.8122973828849,-23.0516043198267,-18.2798082228311,3.18655836695717,23.0919584542829,10.8857980593891,31.7382862995532,51.3361715369254
1,0.593212481796909,64.0606406106992,85.6335034046049,103.659840521923,-62.1595448702961,-46.7281823105739,-21.0150908628196,-15.4933357032328,2.91553178378474,22.8029136088198,12.592414704558,32.5330174586644,57.5843718334196
0,-1.2399050023037,64.0586291023403,102.73231482637,82.5339717431026,-65.4831571747892,-45.1280059656559,-25.3022942108238,1.1870799898861,-16.4219868955175,22.7025821142651,9.36372310031158,31.9021024403426,50.2081283851036
0,-10.2486752449603,67.9672083979621,83.7458791419958,104.286137309406,-63.7280764992421,-46.9177113325175,-22.5930728681291,-15.5820088880453,2.56726952720023,22.3098993806736,6.86017076861375,29.3477359405733,50.5277860428414
1,0.119688323333471,63.0195631695082,81.6281018708826,102.924017178724,-65.6529646873812,-47.4925880454036,-24.4858166021947,-15.9286332335158,3.08611042294267,24.0844089940653,13.6318599735414,31.6282538324327,54.8081601226402
0,0.202117509721614,81.3184680249364,62.6642211502727,102.354846823151,-66.3292837702067,-44.5094657751794,-24.8902233525933,-17.6942190174799,2.9364052167576,22.7784174159316,12.7605493571923,52.8922340105508,32.1307300404435
0,2.2493668312406,63.8649787597141,82.6372038877084,104.051513239361,-64.8856371414048,-46.1665651172689,-24.6683633749962,-15.892232487956,3.04576549819618,22.8227744150367,11.0646576036563,32.0810292518197,53.6792781812055
0,-0.629910540480006,63.008102696043,81.79896243547,102.231758825953,-64.3172254397791,-43.3701344535695,-23.6901190418278,-16.3059182810033,2.93959324100647,22.6053072559919,9.9305955686648,31.6803017754279,51.2401746215546
0,-0.665697469602518,63.2499893367145,82.1884573719872,103.8225736026,-66.0522015750775,-45.329269304879,-24.2071873005891,-16.7897003075985,2.86075756564179,22.8861856329594,9.72352465100102,30.6466549146517,51.156885791903
1,0.309239694060519,67.3864859320431,83.0204648311589,104.784942584233,-66.8302360871545,-45.1501085668964,-26.2114481347987,-15.5961489006348,2.59474817037215,22.5502721192659,12.5116270636985,31.4214537138598,53.414079107404
0,-1.4626574594357,58.5172219543672,80.1853850639849,101.336367000941,-64.6316581284739,-46.6333090142124,-23.1058831834898,-15.8257143729419,3.1999176882201,22.9735794770627,11.7455625748763,32.6294424114732,49.9969316479783
1,0.186790601321788,63.4450144517772,82.6735711382302,101.378631809306,-63.645805420356,-44.6857827469351,-23.6140943378349,-15.1905552800889,0.818639917223855,22.9469030942814,12.3433948011403,52.4950986929877,32.355520646204
1,0.648444192540999,63.115874260217,82.888467423904,102.435299577531,-65.7187857169777,-44.7875973461938,-25.8651190025444,-15.6872565642406,6.39953426194887,22.6865176081179,11.7072008143999,32.1624653960793,51.0605188403313
0,-2.17392267967453,62.7556040491006,82.227830303876,103.204395650915,-67.0451292345214,-45.5266694420863,-25.7495183434028,-15.3902035403763,3.12628388143029,22.8070972093741,9.19331675281671,31.2439550941815,49.713837560892
1,-0.948486501825549,60.6979479709372,81.1361535395179,101.6948227208,-66.5480936250542,-26.2556505656547,-47.0125134081882,-16.3403166257253,2.9553911643599,22.8189347750106,10.7985899756402,32.1446710093458,52.6717639172029
1,-0.654753740579063,55.0331029828107,78.6553225855494,98.4468513496632,-65.4750554940883,-23.9316965032582,-46.2910704315992,-17.267852817086,2.30708868097452,23.210184018219,11.1797729686822,32.1844768190967,51.8211238042576
1,-1.74259536102586,62.5182443291019,81.5937060514243,102.203820474635,-65.2802924908556,-46.4195060307278,-25.4190864110648,-16.78229390505,24.5269179118032,3.05886819586745,33.2021644290626,13.2142752118558,54.670825288857
1,0.205654391352432,62.6987276106385,81.3391654922251,101.534215267334,-63.5529315015178,-47.8483664589317,-23.952099145956,-16.4607933546225,2.94325592289766,23.0737196374267,11.6534102549091,32.2823061954538,53.7300431203863
0,-3.00340440341547,59.4533643380198,80.7830074678593,99.6578987236521,-64.423480078112,-45.2122172560793,-24.97997110196,-16.2687491929794,1.91935880415492,22.8669380555833,12.2340880067144,32.36109965165,52.2548423101359
1,-0.609300144659107,63.1733275657234,81.5742782008984,103.543210254913,-65.0267837813545,-45.1040732479168,-27.2542513951809,-12.5864774115672,3.03419670207301,22.104784998076,12.8671586524623,32.1869921037134,56.2176289330025
0,-0.424581308751945,60.9939338795201,81.8406543151017,101.597897692489,-65.2271600552202,-45.2149250395416,-24.3844901359371,-15.8113937858796,2.39862749072447,22.7931980159953,11.1275166949192,33.107766318773,52.7588098627105
0,3.34485925196407,66.7935355743593,82.7747302602885,104.923201368443,-65.849020337621,-45.1455071263451,-24.1435092156456,-16.1166648206151,1.70689054673608,22.6174236678752,12.4922329731138,32.8941935288047,54.146066864756
0,-2.29633922806923,62.5989867746739,82.0263071090311,102.723652221372,-65.7338706701759,-46.0316392067592,-24.3227416468579,-15.9134343920494,3.06341142461481,22.7735694296461,12.3272351703991,33.8060511418266,55.8475997395523
1,-1.01788316472103,62.9378965514745,82.2981409036152,103.215134837945,-68.1178381412596,-48.3314969540234,-27.5847567779886,-16.4658962534572,3.09681031467627,23.1104675454811,11.4815371116275,31.7679676060986,53.3639434132672
0,1.85750988488011,62.08119638232,81.9913765869444,103.081006178511,-64.8376011477521,-44.7992595472421,-25.3722148090685,-16.2131406038631,2.81512432605439,22.9917913734427,12.360743428096,31.2154809617075,51.146694502338
0,-2.26607305489959,60.2780371692203,80.5596150351751,101.041844808265,-66.103313199681,-47.3078868284398,-26.7726704834164,-15.5696052334758,5.18680352271207,22.7583118073759,33.7668723113134,11.937425202094,53.9889313514766
0,1.29045695956533,62.8564514532199,81.5908821935634,102.734114444755,-64.0852112464242,-46.7460583453563,-23.8970212201048,-15.6702076680526,3.04108710684824,22.8901423218367,12.0475355711401,33.0880494147573,54.0318299753567
0,-14.4242988909324,62.7890150531182,81.8107819081667,101.87635587843,-66.0393637717093,-45.9568528314503,-24.6441939014967,-16.9488236632875,3.588297424893,22.4374014411892,5.85723474524141,28.8038229891871,48.4566903167451
0,-0.740741098500227,59.5760312184193,80.464400965574,101.81657070185,-66.4753206279384,-46.6724679142933,-25.0723900022394,-15.4842012710434,3.10881982186393,22.9947177355339,9.68814672169409,31.5619122457015,50.0835621693147
0,-2.53114352951379,62.5937007457856,81.4554887396242,102.673913386057,-66.3735506193514,-46.680117293975,-27.4987794135133,-15.3682214320463,2.82724337339883,23.1759832475727,13.1793271744047,35.0370903784174,53.1495444031826
0,-1.26772089496722,63.3545966563026,83.1811441924462,102.524608003309,-65.2713532726135,-46.5539416935629,-24.5253642123968,-16.4895428091548,2.31525956293223,23.2060312524904,12.8478327370596,54.8307712438946,32.6007409015325
0,0.872195360882107,63.4458406822926,83.8301937717948,102.327459876821,-65.5005055798547,-47.0505774684976,-25.3112010620752,-15.8763458171326,-0.961264052921765,22.644519995692,12.4007563088328,33.2297978640602,54.8145954758544
0,5.50792258080614,63.7649352204327,82.0568903782529,101.356233304249,-63.1751989229602,-46.8080631607953,-22.6874095114347,-16.9756516191166,3.25174230796249,25.0545693260011,13.3050891541597,33.1528883571388,52.6314543587051
1,0.730794447030433,62.2765986174142,82.8339991255624,102.532943804674,-46.2457622921614,-69.2156931676628,-28.3730419855385,-16.34126308027,2.8275993002461,23.1169031479605,11.6086443916647,31.2327644240344,53.3654088833251
0,2.31455300805885,63.5231673755259,83.1219919512923,104.221254567655,-66.8012581476448,-47.4667111482735,-27.4326617205865,-16.5277418803475,2.53078599876458,22.5438155860655,11.9852088159702,52.9643956293409,33.8203252521235
0,0.929353955365706,62.5116986525299,81.5342463045695,104.972369605424,-64.2546008308116,-44.8091127608569,-25.1338740130295,-16.9843118354547,3.09264190486371,22.455899187022,10.7452486919362,32.3126851112858,53.0596959932897
0,1.24043595922469,66.217225823471,84.1846267633414,106.156230301261,-45.4425846929959,-23.5035756354457,-64.6477021683561,-17.2319566183546,23.2820369424829,2.73335502612117,31.8040627995315,12.0082694921675,54.1851573040465
1,-0.15231216466558,63.4378207212945,82.0293371967515,100.654458237369,-46.6023774909724,-67.6369766493127,-27.2259059232653,-15.6063808551168,4.85741714718187,22.5419343999529,11.8621888647179,31.9431701038706,53.5022375961417
